,Unnamed: 0,name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
0,0,Chelsea FC,40,24/7,31,13.84m,553.50m,10,50,6,38,GB1
1,1,Manchester City,38,25/4,27,13.14m,499.35m,4,66,30,38,GB1
2,2,Arsenal FC,41,24/7,29,11.17m,457.85m,2,71,29,38,GB1
3,3,Manchester United,44,23/5,25,10.00m,439.85m,5,66,14,38,GB1
4,4,Liverpool FC,44,23/4,27,8.53m,375.25m,8,60,13,38,GB1
5,5,Tottenham Hotspur,31,23/7,16,12.00m,371.85m,3,70,34,38,GB1
6,6,Everton FC,39,25/7,21,6.41m,249.85m,11,47,4,38,GB1
7,7,Southampton FC,35,25.0,20,6.44m,225.50m,6,63,18,38,GB1
8,8,West Ham United,50,24/2,28,4.03m,201.33m,7,62,14,38,GB1
9,9,Newcastle United,42,24/5,27,4.71m,198.00m,18,37,-21,38,GB1
10,10,Leicester City,35,26/9,20,4.60m,161.10m,1,81,32,38,GB1
11,11,Stoke City,31,27/3,24,4.74m,147.00m,9,51,-14,38,GB1
12,12,Swansea City,36,25/8,27,4.05m,145.80m,12,47,-10,38,GB1
13,13,Watford FC,39,27/4,35,3.51m,137.00m,13,45,-10,38,GB1
14,14,Crystal Palace,38,26/6,20,3.57m,135.70m,15,42,-12,38,GB1
15,15,Aston Villa,44,24/5,23,2.68m,117.95m,20,17,-49,38,GB1
16,16,Norwich City,41,26/6,22,2.85m,116.90m,19,34,-28,38,GB1
17,17,West Bromwich Albion,35,26/4,22,3.23m,113.10m,14,43,-14,38,GB1
18,18,Sunderland AFC,42,26/5,27,2.65m,111.25m,17,39,-14,38,GB1
19,19,AFC Bournemouth,49,25/1,22,2.04m,99.90m,16,42,-22,38,GB1
20,20,Chelsea FC,49,24/8,41,14.01m,686.70m,1,93,52,38,GB1
21,21,Manchester City,35,26/4,28,16.47m,576.50m,3,78,41,38,GB1
22,22,Tottenham Hotspur,38,23/7,20,14.31m,543.65m,2,86,60,38,GB1
23,23,Arsenal FC,42,24/7,26,12.90m,542.00m,5,75,33,38,GB1
24,24,Manchester United,42,24/4,25,12.65m,531.45m,6,69,25,38,GB1
25,25,Liverpool FC,38,24/4,24,11.20m,425.65m,4,76,36,38,GB1
26,26,Everton FC,39,25/9,25,7.98m,311.25m,7,61,18,38,GB1
27,27,West Ham United,44,24/7,28,6.21m,273.05m,11,45,-17,38,GB1
28,28,Southampton FC,36,25/3,19,7.33m,263.75m,8,46,-7,38,GB1
29,29,Crystal Palace,45,26/1,26,5.08m,228.43m,14,41,-13,38,GB1
30,30,Leicester City,31,26/6,21,7.05m,218.65m,12,44,-15,38,GB1
31,31,Stoke City,34,27/1,27,5.47m,186.00m,13,44,-15,38,GB1
32,32,Watford FC,46,26/8,36,3.82m,175.65m,17,40,-28,38,GB1
33,33,Swansea City,37,26/9,28,4.25m,157.10m,15,41,-25,38,GB1
34,34,Hull City,42,26.0,23,3.23m,135.85m,18,34,-43,38,GB1
35,35,Sunderland AFC,42,25/3,27,3.14m,132.00m,20,24,-40,38,GB1
36,36,AFC Bournemouth,41,24/4,16,3.21m,131.60m,9,46,-12,38,GB1
37,37,Middlesbrough FC,35,27/3,21,3.68m,128.80m,19,28,-26,38,GB1
38,38,West Bromwich Albion,30,27/3,18,4.11m,123.20m,10,45,-8,38,GB1
39,39,Burnley FC,36,26/6,15,2.98m,107.18m,16,40,-16,38,GB1
40,40,Manchester City,34,25/1,23,30.84m,1005m,2,81,67,38,GB1
41,41,Liverpool FC,56,23/3,31,17.90m,1000m,1,99,52,38,GB1
42,42,Tottenham Hotspur,36,24/8,22,22.41m,806.80m,6,59,14,38,GB1
43,43,Chelsea FC,36,24/1,23,19.61m,705.85m,4,66,15,38,GB1
44,44,Manchester United,43,23/9,24,15.59m,670.45m,3,66,30,38,GB1
45,45,Arsenal FC,38,24/3,23,15.99m,607.65m,8,56,8,38,GB1
46,46,Everton FC,35,26.0,21,12.02m,420.55m,12,49,-12,38,GB1
47,47,Leicester City,32,25/9,18,12.85m,411.10m,5,62,26,38,GB1
48,48,Wolverhampton Wanderers,44,23/1,30,7.28m,320.33m,7,59,11,38,GB1
49,49,West Ham United,38,26/5,25,7.99m,303.60m,16,39,-13,38,GB1
50,50,AFC Bournemouth,39,24/8,17,6.98m,272.18m,18,34,-25,38,GB1
51,51,Newcastle United,41,26.0,23,6.16m,252.48m,13,44,-20,38,GB1
52,52,Aston Villa,38,25/7,22,6.10m,231.70m,17,35,-26,38,GB1
53,53,Southampton FC,36,24/4,18,5.85m,210.75m,11,52,-9,38,GB1
54,54,Brighton & Hove Albion,45,24/7,29,4.46m,200.78m,15,41,-15,38,GB1
55,55,Watford FC,43,25/7,28,4.64m,199.60m,19,34,-28,38,GB1
56,56,Crystal Palace,33,26/8,18,5.74m,189.33m,14,43,-19,38,GB1
57,57,Burnley FC,35,26/3,12,4.68m,163.88m,10,54,-7,38,GB1
58,58,Norwich City,38,25/5,25,3.82m,145.33m,20,21,-49,38,GB1
59,59,Sheffield United,34,27/3,16,4.08m,138.60m,9,54,0,38,GB1
60,60,Manchester City,36,24/9,23,29.01m,1004m,1,86,51,38,GB1
61,61,Liverpool FC,43,24/4,28,22.55m,969.65m,3,69,26,38,GB1
62,62,Chelsea FC,39,25/2,23,22.80m,889.20m,4,67,22,38,GB1
63,63,Manchester United,39,24/9,24,19.74m,770.05m,2,74,29,38,GB1
64,64,Tottenham Hotspur,41,24/6,23,17.16m,703.50m,7,62,23,38,GB1
65,65,Arsenal FC,42,24/4,26,14.74m,619.25m,8,61,16,38,GB1
66,66,Everton FC,44,24/7,26,11.62m,511.20m,10,59,-1,38,GB1
67,67,Leicester City,40,25/3,25,12.77m,510.70m,5,66,18,38,GB1
68,68,Wolverhampton Wanderers,38,23/9,32,11.85m,450.30m,13,45,-16,38,GB1
69,69,Aston Villa,53,23/3,24,8.13m,430.75m,11,55,9,38,GB1
70,70,West Ham United,39,26/5,23,8.59m,334.90m,6,65,15,38,GB1
71,71,Brighton & Hove Albion,46,24/3,29,6.31m,290.40m,16,41,-6,38,GB1
72,72,Southampton FC,39,24/5,20,7.25m,282.80m,15,43,-21,38,GB1
73,73,Newcastle United,33,26/9,18,7.74m,255.35m,12,45,-16,38,GB1
74,74,Fulham FC,38,26/4,30,6.31m,239.75m,18,28,-26,38,GB1
75,75,Leeds United,39,24/5,23,6.11m,238.10m,9,59,8,38,GB1
76,76,Crystal Palace,36,27/7,18,5.38m,193.85m,14,44,-25,38,GB1
77,77,Sheffield United,40,24/9,15,3.75m,149.85m,20,23,-43,38,GB1
78,78,West Bromwich Albion,43,26/1,17,3.28m,141.15m,19,26,-41,38,GB1
79,79,Burnley FC,32,26/6,11,4.13m,132.30m,17,39,-22,38,GB1
80,80,Manchester City,46,24/3,34,26.16m,1200m,1,98,72,38,GB1
81,81,Liverpool FC,39,24/7,25,30.06m,1170m,2,97,67,38,GB1
82,82,Chelsea FC,54,25/6,40,21.60m,1170m,3,72,24,38,GB1
83,83,Tottenham Hotspur,34,25/4,20,26.43m,898.60m,4,71,28,38,GB1
84,84,Manchester United,36,25/3,22,22.16m,797.60m,6,66,11,38,GB1
85,85,Arsenal FC,42,24/9,28,15.69m,659.05m,5,70,22,38,GB1
86,86,Everton FC,40,26.0,28,13.23m,529.10m,8,54,8,38,GB1
87,87,Leicester City,37,26/4,26,11.73m,434.10m,9,52,3,38,GB1
88,88,West Ham United,37,26/6,23,9.70m,359.00m,10,52,-3,38,GB1
89,89,AFC Bournemouth,37,25/7,17,8.38m,310.00m,14,45,-14,38,GB1
90,90,Southampton FC,40,24/9,18,7.64m,305.40m,16,39,-20,38,GB1
91,91,Wolverhampton Wanderers,40,24/1,26,7.57m,302.90m,7,57,1,38,GB1
92,92,Crystal Palace,36,26/4,21,8.03m,289.00m,12,49,-2,38,GB1
93,93,Fulham FC,33,25/7,26,7.70m,254.25m,19,26,-47,38,GB1
94,94,Newcastle United,37,26.0,23,6.61m,244.65m,13,45,-6,38,GB1
95,95,Watford FC,39,26/2,32,6.13m,239.10m,11,50,-7,38,GB1
96,96,Burnley FC,33,28/1,14,5.98m,197.25m,15,40,-23,38,GB1
