name,squad,ageAvg,foreigners,marketValueAvg,totalMarketValue,rank,points,teamAverage,teamMatches,leagueName
Chelsea FC,40,24.7,31,13.84,553.5,10,50,6,38,GB1
Manchester City,38,25.4,27,13.14,499.35,4,66,30,38,GB1
Arsenal FC,41,24.7,29,11.17,457.85,2,71,29,38,GB1
Manchester United,44,23.5,25,10.0,439.85,5,66,14,38,GB1
Liverpool FC,44,23.4,27,8.53,375.25,8,60,13,38,GB1
Tottenham Hotspur,31,23.7,16,12.0,371.85,3,70,34,38,GB1
Everton FC,39,25.7,21,6.41,249.85,11,47,4,38,GB1
Southampton FC,35,25.0,20,6.44,225.5,6,63,18,38,GB1
West Ham United,50,24.2,28,4.03,201.33,7,62,14,38,GB1
Newcastle United,42,24.5,27,4.71,198.0,18,37,-21,38,GB1
Leicester City,35,26.9,20,4.6,161.1,1,81,32,38,GB1
Stoke City,31,27.3,24,4.74,147.0,9,51,-14,38,GB1
Swansea City,36,25.8,27,4.05,145.8,12,47,-10,38,GB1
Watford FC,39,27.4,35,3.51,137.0,13,45,-10,38,GB1
Crystal Palace,38,26.6,20,3.57,135.7,15,42,-12,38,GB1
Aston Villa,44,24.5,23,2.68,117.95,20,17,-49,38,GB1
Norwich City,41,26.6,22,2.85,116.9,19,34,-28,38,GB1
West Bromwich Albion,35,26.4,22,3.23,113.1,14,43,-14,38,GB1
Sunderland AFC,42,26.5,27,2.65,111.25,17,39,-14,38,GB1
AFC Bournemouth,49,25.1,22,2.04,99.9,16,42,-22,38,GB1
Chelsea FC,49,24.8,41,14.01,686.7,1,93,52,38,GB1
Manchester City,35,26.4,28,16.47,576.5,3,78,41,38,GB1
Tottenham Hotspur,38,23.7,20,14.31,543.65,2,86,60,38,GB1
Arsenal FC,42,24.7,26,12.9,542.0,5,75,33,38,GB1
Manchester United,42,24.4,25,12.65,531.45,6,69,25,38,GB1
Liverpool FC,38,24.4,24,11.2,425.65,4,76,36,38,GB1
Everton FC,39,25.9,25,7.98,311.25,7,61,18,38,GB1
West Ham United,44,24.7,28,6.21,273.05,11,45,-17,38,GB1
Southampton FC,36,25.3,19,7.33,263.75,8,46,-7,38,GB1
Crystal Palace,45,26.1,26,5.08,228.43,14,41,-13,38,GB1
Leicester City,31,26.6,21,7.05,218.65,12,44,-15,38,GB1
Stoke City,34,27.1,27,5.47,186.0,13,44,-15,38,GB1
Watford FC,46,26.8,36,3.82,175.65,17,40,-28,38,GB1
Swansea City,37,26.9,28,4.25,157.1,15,41,-25,38,GB1
Hull City,42,26.0,23,3.23,135.85,18,34,-43,38,GB1
Sunderland AFC,42,25.3,27,3.14,132.0,20,24,-40,38,GB1
AFC Bournemouth,41,24.4,16,3.21,131.6,9,46,-12,38,GB1
Middlesbrough FC,35,27.3,21,3.68,128.8,19,28,-26,38,GB1
West Bromwich Albion,30,27.3,18,4.11,123.2,10,45,-8,38,GB1
Burnley FC,36,26.6,15,2.98,107.18,16,40,-16,38,GB1
Manchester City,34,25.1,23,30.84,1005.0,2,81,67,38,GB1
Liverpool FC,56,23.3,31,17.9,1000.0,1,99,52,38,GB1
